param,mean,median,0.950_CI_LB,0.950_CI_UB
alpha_loc_0_pop_0,0.556040,0.378476,-1.555553,3.127385
alpha_loc_1_pop_0,0.961302,0.724021,-0.618600,3.407940
alpha_loc_2_pop_0,-0.468426,-0.543319,-4.662117,3.179114
alpha_loc_3_pop_0,0.434327,0.416787,-2.101063,3.380290
alpha_loc_4_pop_0,-0.520435,-0.346307,-3.421295,1.477016
alpha_loc_5_pop_0,1.201279,1.446585,-1.951533,3.623158
alpha_loc_6_pop_0,-1.303954,-1.406278,-4.841707,2.024422
alpha_loc_7_pop_0,-0.269120,-0.243348,-1.992455,1.531538
alpha_loc_8_pop_0,-0.551571,-0.677721,-2.268998,1.338323
alpha_loc_9_pop_0,-0.277274,-0.152754,-1.926012,0.999932
alpha_loc_10_pop_0,-0.048024,-0.046864,-1.199606,1.041407
alpha_loc_11_pop_0,0.402666,0.444081,-0.810937,1.474439
alpha_loc_12_pop_0,-0.862285,-0.901655,-2.549905,0.938446
alpha_loc_13_pop_0,-0.717882,-0.803716,-2.262165,1.171370
alpha_loc_14_pop_0,1.750582,1.885098,-3.960497,6.813052
alpha_loc_15_pop_0,0.109773,0.484516,-4.281867,2.891260
alpha_loc_16_pop_0,0.630293,0.815828,-2.090490,2.562178
alpha_loc_17_pop_0,-0.646174,-0.653642,-2.908832,1.792028
alpha_loc_18_pop_0,0.143092,0.419984,-3.115611,3.113913
alpha_loc_19_pop_0,-0.025288,0.171921,-3.557919,2.818629
alpha_loc_20_pop_0,1.894970,2.130863,-1.500453,3.643002
alpha_loc_21_pop_0,0.287087,0.148458,-2.224117,2.974393
alpha_loc_22_pop_0,2.283446,2.336787,1.054299,3.207433
alpha_loc_23_pop_0,2.220301,2.177796,0.554784,4.196396
alpha_loc_24_pop_0,1.059072,1.150009,-1.050628,2.516351
alpha_loc_25_pop_0,0.596265,0.662355,-1.668554,2.775655
alpha_loc_26_pop_0,-0.811294,-1.071770,-3.463458,1.798557
alpha_loc_27_pop_0,-0.729674,0.033695,-4.100142,0.870872
alpha_loc_28_pop_0,0.130682,0.061593,-2.641652,3.568411
alpha_loc_29_pop_0,-1.562122,-1.512782,-3.609883,0.202462
alpha_loc_30_pop_0,-0.997235,-0.987186,-2.994018,1.373721
alpha_loc_31_pop_0,-1.071332,-1.023876,-3.081815,0.649482
alpha_loc_32_pop_0,-0.172471,-0.134974,-3.096063,1.711687
alpha_loc_33_pop_0,-0.153037,-0.337866,-4.035268,3.178288
alpha_loc_34_pop_0,-0.925017,-0.855624,-2.929196,0.575513
alpha_loc_35_pop_0,-0.357508,-0.276016,-1.933643,0.741383
alpha_loc_36_pop_0,-0.882022,-0.959893,-2.518107,1.178625
alpha_loc_37_pop_0,-0.445518,-0.363287,-2.334300,1.168187
alpha_loc_38_pop_0,-0.041972,0.055940,-2.455861,2.255052
alpha_loc_39_pop_0,0.291761,0.237921,-1.828566,2.212288
alpha_loc_40_pop_0,0.522198,0.510762,-1.539647,2.662280
alpha_loc_41_pop_0,0.819429,0.937425,-1.380662,2.274578
alpha_loc_42_pop_0,1.036289,1.263997,-1.846970,3.027696
alpha_loc_43_pop_0,0.300288,0.063072,-1.675301,3.150843
alpha_loc_44_pop_0,-0.092465,-0.161246,-1.918017,1.806801
alpha_loc_45_pop_0,-0.033441,-0.035649,-0.276698,0.221332
alpha_loc_46_pop_0,-0.082835,-0.063271,-2.327110,2.297028
alpha_loc_47_pop_0,-0.524933,-1.121926,-3.624110,3.475073
alpha_loc_48_pop_0,-0.644979,-1.164755,-3.151119,3.365059
alpha_loc_49_pop_0,-0.618754,-0.672649,-3.899179,2.672230
alpha_loc_50_pop_0,-1.352978,-1.259207,-3.229551,0.437174
alpha_loc_51_pop_0,-0.382175,-0.686438,-3.159636,3.525575
alpha_loc_52_pop_0,-0.363195,-0.448318,-3.368812,2.449117
alpha_loc_53_pop_0,0.986951,0.830652,-3.178282,6.431816
alpha_loc_54_pop_0,0.799849,0.567035,-0.299979,2.859539
alpha_loc_55_pop_0,1.435648,1.317912,-0.433657,4.329762
alpha_loc_56_pop_0,-0.223051,-0.295276,-4.266347,3.598050
alpha_loc_57_pop_0,0.152151,0.250148,-3.214165,2.849292
alpha_loc_58_pop_0,0.044814,0.008039,-1.626698,1.692988
alpha_loc_59_pop_0,0.099646,0.000650,-1.555125,1.892085
alpha_loc_60_pop_0,1.032735,0.910151,-0.861500,3.530283
alpha_loc_61_pop_0,0.991445,0.816087,-0.519258,3.266725
alpha_loc_62_pop_0,-0.923537,-0.953456,-3.703251,2.538308
alpha_loc_63_pop_0,1.786741,1.630925,-0.247029,4.267500
alpha_loc_64_pop_0,-1.691684,-1.511506,-4.194334,-0.022441
alpha_loc_65_pop_0,1.898421,1.802051,0.447566,4.090274
alpha_loc_66_pop_0,-1.268916,-1.452162,-3.257738,1.714749
alpha_loc_67_pop_0,-0.178658,-0.165227,-1.107930,0.576109
alpha_loc_68_pop_0,-0.511393,-0.421649,-2.833556,1.534647
alpha_loc_69_pop_0,-0.519291,-0.498138,-1.201999,0.030454
alpha_loc_70_pop_0,-0.869121,-0.938388,-2.709238,1.026618
alpha_loc_71_pop_0,1.435508,1.307496,0.238972,3.504481
alpha_loc_72_pop_0,0.794211,1.368038,-2.210403,3.989815
alpha_loc_73_pop_0,0.816606,0.759832,-0.002323,2.091827
alpha_loc_74_pop_0,0.641227,0.569383,-3.193864,3.521751
alpha_loc_75_pop_0,0.300804,0.439165,-1.953704,2.065010
alpha_loc_76_pop_0,1.465817,1.827155,-1.496826,2.504135
alpha_loc_77_pop_0,1.500279,1.779233,-0.914570,2.790724
alpha_loc_78_pop_0,1.588352,1.670170,0.212278,3.518457
alpha_loc_79_pop_0,1.417176,1.315434,-0.302488,3.589389
alpha_loc_80_pop_0,0.982240,0.787709,-1.438768,3.551291
alpha_loc_81_pop_0,-0.561515,-0.420565,-2.772068,0.771789
alpha_loc_82_pop_0,-0.656033,-0.763600,-2.605148,1.992473
alpha_loc_83_pop_0,-0.792144,-0.990629,-3.035288,1.631694
alpha_loc_84_pop_0,1.489781,1.692212,-2.410681,3.055617
alpha_loc_85_pop_0,0.093496,0.224875,-2.203583,0.798355
alpha_loc_86_pop_0,0.812192,0.829762,-2.127927,3.453128
alpha_loc_87_pop_0,2.173365,2.173476,0.948218,3.531107
alpha_loc_88_pop_0,0.302568,0.253482,-0.671654,1.585523
alpha_loc_89_pop_0,1.393428,1.368156,0.607018,2.218559
alpha_loc_90_pop_0,2.009601,2.033959,-0.731071,4.887551
alpha_loc_91_pop_0,0.481337,0.322963,-3.422664,5.151093
alpha_loc_92_pop_0,1.514832,1.512501,0.828985,2.248700
alpha_loc_93_pop_0,0.968749,0.779830,0.113941,2.385996
alpha_loc_94_pop_0,0.038564,0.051521,-3.218995,2.509500
