param,mean,median,0.950_CI_LB,0.950_CI_UB
gamma-quantile_param_0,0.630055,0.633049,0.072790,0.998082
gamma-quantile_param_1,0.725972,0.743716,0.287687,0.999255
gamma-quantile_param_2,0.431387,0.385454,0.009393,0.958227
gamma-quantile_param_3,0.572588,0.589462,0.132427,0.953303
gamma-quantile_param_4,0.411906,0.424294,0.030578,0.786873
gamma-quantile_param_5,0.705077,0.786247,0.139512,0.977216
gamma-quantile_param_6,0.280392,0.201099,0.002335,0.891649
gamma-quantile_param_7,0.417066,0.389102,0.009283,0.967946
gamma-quantile_param_8,0.330583,0.207428,0.004245,0.950210
gamma-quantile_param_9,0.412312,0.423851,0.007850,0.897333
gamma-quantile_param_10,0.478433,0.475438,0.062407,0.919739
gamma-quantile_param_11,0.658578,0.713017,0.145252,0.971182
gamma-quantile_param_12,0.212054,0.136533,0.001365,0.861047
gamma-quantile_param_13,0.272985,0.176851,0.005242,0.918238
gamma-quantile_param_14,0.738531,0.846626,0.025346,0.999889
gamma-quantile_param_15,0.549664,0.621219,0.002462,0.968715
gamma-quantile_param_16,0.659426,0.741746,0.046740,0.982776
gamma-quantile_param_17,0.349676,0.309915,0.010508,0.919597
gamma-quantile_param_18,0.539080,0.634287,0.005285,0.991672
gamma-quantile_param_19,0.514994,0.558777,0.000972,0.990075
gamma-quantile_param_20,0.885322,0.977327,0.077224,0.999712
gamma-quantile_param_21,0.544407,0.557858,0.018942,0.995872
gamma-quantile_param_22,0.980705,0.993403,0.869170,0.999645
gamma-quantile_param_23,0.958606,0.989307,0.727127,0.999993
gamma-quantile_param_24,0.778669,0.840216,0.182417,0.984090
gamma-quantile_param_25,0.632841,0.682414,0.114583,0.973150
gamma-quantile_param_26,0.362156,0.276412,0.030899,0.836184
gamma-quantile_param_27,0.406382,0.507314,0.016930,0.683306
gamma-quantile_param_28,0.506923,0.517204,0.036132,0.992045
gamma-quantile_param_29,0.133254,0.085576,0.000733,0.575768
gamma-quantile_param_30,0.245989,0.159862,0.001499,0.922073
gamma-quantile_param_31,0.218724,0.153915,0.001900,0.742311
gamma-quantile_param_32,0.472485,0.454291,0.008223,0.927054
gamma-quantile_param_33,0.474675,0.422776,0.008720,0.969080
gamma-quantile_param_34,0.247581,0.200668,0.001941,0.704334
gamma-quantile_param_35,0.387302,0.382278,0.017948,0.792918
gamma-quantile_param_36,0.234370,0.140053,0.002757,0.901995
gamma-quantile_param_37,0.377553,0.346596,0.009727,0.900960
gamma-quantile_param_38,0.497001,0.519900,0.014629,0.978956
gamma-quantile_param_39,0.575511,0.576089,0.082011,0.961048
gamma-quantile_param_40,0.630736,0.661815,0.108473,0.987212
gamma-quantile_param_41,0.744599,0.856097,0.054716,0.995628
gamma-quantile_param_42,0.763664,0.925000,0.015158,0.999812
gamma-quantile_param_43,0.538330,0.525998,0.039380,0.999618
gamma-quantile_param_44,0.465699,0.435437,0.025767,0.968296
